country_sector,country,icio_sector,model_sector,mapping_version
ARE_C25,ARE,C25,steel_aluminum,v1_rule_based
ARE_C26,ARE,C26,manufacturing_other,v1_rule_based
ARE_C27,ARE,C27,manufacturing_other,v1_rule_based
ARE_C28,ARE,C28,manufacturing_other,v1_rule_based
ARE_C29,ARE,C29,manufacturing_other,v1_rule_based
ARE_C301,ARE,C301,manufacturing_other,v1_rule_based
ARE_C302T309,ARE,C302T309,manufacturing_other,v1_rule_based
ARE_C31T33,ARE,C31T33,retail_consumer,v1_rule_based
ARE_D,ARE,D,energy_primary,v1_rule_based
ARE_E,ARE,E,energy_primary,v1_rule_based
ARE_F,ARE,F,services_other,v1_rule_based
ARE_G,ARE,G,retail_consumer,v1_rule_based
ARE_H49,ARE,H49,services_other,v1_rule_based
ARE_H50,ARE,H50,services_other,v1_rule_based
ARE_H51,ARE,H51,services_other,v1_rule_based
ARE_H52,ARE,H52,services_other,v1_rule_based
ARE_H53,ARE,H53,services_other,v1_rule_based
ARE_I,ARE,I,retail_consumer,v1_rule_based
ARE_J58T60,ARE,J58T60,services_other,v1_rule_based
ARE_J61,ARE,J61,services_other,v1_rule_based
ARE_J62_63,ARE,J62_63,services_other,v1_rule_based
ARE_K,ARE,K,services_other,v1_rule_based
ARE_L,ARE,L,services_other,v1_rule_based
ARE_M,ARE,M,services_other,v1_rule_based
ARE_N,ARE,N,services_other,v1_rule_based
ARE_O,ARE,O,services_other,v1_rule_based
ARE_P,ARE,P,services_other,v1_rule_based
ARE_Q,ARE,Q,services_other,v1_rule_based
ARE_R,ARE,R,services_other,v1_rule_based
ARE_S,ARE,S,services_other,v1_rule_based
ARE_T,ARE,T,services_other,v1_rule_based
ARG_A01,ARG,A01,energy_primary,v1_rule_based
ARG_A02,ARG,A02,energy_primary,v1_rule_based
ARG_A03,ARG,A03,energy_primary,v1_rule_based
ARG_B05,ARG,B05,energy_primary,v1_rule_based
ARG_B06,ARG,B06,energy_primary,v1_rule_based
ARG_B07,ARG,B07,energy_primary,v1_rule_based
ARG_B08,ARG,B08,energy_primary,v1_rule_based
ARG_B09,ARG,B09,energy_primary,v1_rule_based
ARG_C10T12,ARG,C10T12,retail_consumer,v1_rule_based
ARG_C13T15,ARG,C13T15,retail_consumer,v1_rule_based
ARG_C16,ARG,C16,manufacturing_other,v1_rule_based
ARG_C17_18,ARG,C17_18,manufacturing_other,v1_rule_based
ARG_C19,ARG,C19,manufacturing_other,v1_rule_based
ARG_C20,ARG,C20,manufacturing_other,v1_rule_based
ARG_C21,ARG,C21,pharma,v1_rule_based
ARG_C22,ARG,C22,manufacturing_other,v1_rule_based
ARG_C23,ARG,C23,manufacturing_other,v1_rule_based
ARG_C24A,ARG,C24A,steel_aluminum,v1_rule_based
ARG_C24B,ARG,C24B,steel_aluminum,v1_rule_based
ARG_C25,ARG,C25,steel_aluminum,v1_rule_based
ARG_C26,ARG,C26,manufacturing_other,v1_rule_based
ARG_C27,ARG,C27,manufacturing_other,v1_rule_based
ARG_C28,ARG,C28,manufacturing_other,v1_rule_based
ARG_C29,ARG,C29,manufacturing_other,v1_rule_based
ARG_C301,ARG,C301,manufacturing_other,v1_rule_based
ARG_C302T309,ARG,C302T309,manufacturing_other,v1_rule_based
ARG_C31T33,ARG,C31T33,retail_consumer,v1_rule_based
ARG_D,ARG,D,energy_primary,v1_rule_based
ARG_E,ARG,E,energy_primary,v1_rule_based
ARG_F,ARG,F,services_other,v1_rule_based
ARG_G,ARG,G,retail_consumer,v1_rule_based
ARG_H49,ARG,H49,services_other,v1_rule_based
ARG_H50,ARG,H50,services_other,v1_rule_based
ARG_H51,ARG,H51,services_other,v1_rule_based
ARG_H52,ARG,H52,services_other,v1_rule_based
ARG_H53,ARG,H53,services_other,v1_rule_based
ARG_I,ARG,I,retail_consumer,v1_rule_based
ARG_J58T60,ARG,J58T60,services_other,v1_rule_based
ARG_J61,ARG,J61,services_other,v1_rule_based
ARG_J62_63,ARG,J62_63,services_other,v1_rule_based
ARG_K,ARG,K,services_other,v1_rule_based
ARG_L,ARG,L,services_other,v1_rule_based
ARG_M,ARG,M,services_other,v1_rule_based
ARG_N,ARG,N,services_other,v1_rule_based
ARG_O,ARG,O,services_other,v1_rule_based
ARG_P,ARG,P,services_other,v1_rule_based
ARG_Q,ARG,Q,services_other,v1_rule_based
ARG_R,ARG,R,services_other,v1_rule_based
ARG_S,ARG,S,services_other,v1_rule_based
ARG_T,ARG,T,services_other,v1_rule_based
AUS_A01,AUS,A01,energy_primary,v1_rule_based
AUS_A02,AUS,A02,energy_primary,v1_rule_based
AUS_A03,AUS,A03,energy_primary,v1_rule_based
AUS_B05,AUS,B05,energy_primary,v1_rule_based
AUS_B06,AUS,B06,energy_primary,v1_rule_based
AUS_B07,AUS,B07,energy_primary,v1_rule_based
AUS_B08,AUS,B08,energy_primary,v1_rule_based
AUS_B09,AUS,B09,energy_primary,v1_rule_based
AUS_C10T12,AUS,C10T12,retail_consumer,v1_rule_based
AUS_C13T15,AUS,C13T15,retail_consumer,v1_rule_based
AUS_C16,AUS,C16,manufacturing_other,v1_rule_based
AUS_C17_18,AUS,C17_18,manufacturing_other,v1_rule_based
AUS_C19,AUS,C19,manufacturing_other,v1_rule_based
AUS_C20,AUS,C20,manufacturing_other,v1_rule_based
AUS_C21,AUS,C21,pharma,v1_rule_based
AUS_C22,AUS,C22,manufacturing_other,v1_rule_based
AUS_C23,AUS,C23,manufacturing_other,v1_rule_based
AUS_C24A,AUS,C24A,steel_aluminum,v1_rule_based
AUS_C24B,AUS,C24B,steel_aluminum,v1_rule_based
AUS_C25,AUS,C25,steel_aluminum,v1_rule_based
AUS_C26,AUS,C26,manufacturing_other,v1_rule_based
AUS_C27,AUS,C27,manufacturing_other,v1_rule_based
AUS_C28,AUS,C28,manufacturing_other,v1_rule_based
AUS_C29,AUS,C29,manufacturing_other,v1_rule_based
AUS_C301,AUS,C301,manufacturing_other,v1_rule_based
AUS_C302T309,AUS,C302T309,manufacturing_other,v1_rule_based
AUS_C31T33,AUS,C31T33,retail_consumer,v1_rule_based
AUS_D,AUS,D,energy_primary,v1_rule_based
AUS_E,AUS,E,energy_primary,v1_rule_based
AUS_F,AUS,F,services_other,v1_rule_based
AUS_G,AUS,G,retail_consumer,v1_rule_based
AUS_H49,AUS,H49,services_other,v1_rule_based
AUS_H50,AUS,H50,services_other,v1_rule_based
AUS_H51,AUS,H51,services_other,v1_rule_based
AUS_H52,AUS,H52,services_other,v1_rule_based
AUS_H53,AUS,H53,services_other,v1_rule_based
AUS_I,AUS,I,retail_consumer,v1_rule_based
AUS_J58T60,AUS,J58T60,services_other,v1_rule_based
AUS_J61,AUS,J61,services_other,v1_rule_based
AUS_J62_63,AUS,J62_63,services_other,v1_rule_based
AUS_K,AUS,K,services_other,v1_rule_based
AUS_L,AUS,L,services_other,v1_rule_based
AUS_M,AUS,M,services_other,v1_rule_based
AUS_N,AUS,N,services_other,v1_rule_based
AUS_O,AUS,O,services_other,v1_rule_based
AUS_P,AUS,P,services_other,v1_rule_based
AUS_Q,AUS,Q,services_other,v1_rule_based
AUS_R,AUS,R,services_other,v1_rule_based
AUS_S,AUS,S,services_other,v1_rule_based
AUS_T,AUS,T,services_other,v1_rule_based
AUT_A01,AUT,A01,energy_primary,v1_rule_based
AUT_A02,AUT,A02,energy_primary,v1_rule_based
AUT_A03,AUT,A03,energy_primary,v1_rule_based
AUT_B05,AUT,B05,energy_primary,v1_rule_based
AUT_B06,AUT,B06,energy_primary,v1_rule_based
AUT_B07,AUT,B07,energy_primary,v1_rule_based
AUT_B08,AUT,B08,energy_primary,v1_rule_based
AUT_B09,AUT,B09,energy_primary,v1_rule_based
AUT_C10T12,AUT,C10T12,retail_consumer,v1_rule_based
AUT_C13T15,AUT,C13T15,retail_consumer,v1_rule_based
AUT_C16,AUT,C16,manufacturing_other,v1_rule_based
AUT_C17_18,AUT,C17_18,manufacturing_other,v1_rule_based
AUT_C19,AUT,C19,manufacturing_other,v1_rule_based
AUT_C20,AUT,C20,manufacturing_other,v1_rule_based
AUT_C21,AUT,C21,pharma,v1_rule_based
AUT_C22,AUT,C22,manufacturing_other,v1_rule_based
AUT_C23,AUT,C23,manufacturing_other,v1_rule_based
AUT_C24A,AUT,C24A,steel_aluminum,v1_rule_based
AUT_C24B,AUT,C24B,steel_aluminum,v1_rule_based
AUT_C25,AUT,C25,steel_aluminum,v1_rule_based
AUT_C26,AUT,C26,manufacturing_other,v1_rule_based
AUT_C27,AUT,C27,manufacturing_other,v1_rule_based
AUT_C28,AUT,C28,manufacturing_other,v1_rule_based
AUT_C29,AUT,C29,manufacturing_other,v1_rule_based
AUT_C301,AUT,C301,manufacturing_other,v1_rule_based
AUT_C302T309,AUT,C302T309,manufacturing_other,v1_rule_based
AUT_C31T33,AUT,C31T33,retail_consumer,v1_rule_based
AUT_D,AUT,D,energy_primary,v1_rule_based
AUT_E,AUT,E,energy_primary,v1_rule_based
AUT_F,AUT,F,services_other,v1_rule_based
AUT_G,AUT,G,retail_consumer,v1_rule_based
AUT_H49,AUT,H49,services_other,v1_rule_based
AUT_H50,AUT,H50,services_other,v1_rule_based
AUT_H51,AUT,H51,services_other,v1_rule_based
AUT_H52,AUT,H52,services_other,v1_rule_based
AUT_H53,AUT,H53,services_other,v1_rule_based
AUT_I,AUT,I,retail_consumer,v1_rule_based
AUT_J58T60,AUT,J58T60,services_other,v1_rule_based
AUT_J61,AUT,J61,services_other,v1_rule_based
AUT_J62_63,AUT,J62_63,services_other,v1_rule_based
AUT_K,AUT,K,services_other,v1_rule_based
AUT_L,AUT,L,services_other,v1_rule_based
AUT_M,AUT,M,services_other,v1_rule_based
AUT_N,AUT,N,services_other,v1_rule_based
AUT_O,AUT,O,services_other,v1_rule_based
AUT_P,AUT,P,services_other,v1_rule_based
AUT_Q,AUT,Q,services_other,v1_rule_based
AUT_R,AUT,R,services_other,v1_rule_based
AUT_S,AUT,S,services_other,v1_rule_based
AUT_T,AUT,T,services_other,v1_rule_based
BEL_A01,BEL,A01,energy_primary,v1_rule_based
BEL_A02,BEL,A02,energy_primary,v1_rule_based
BEL_A03,BEL,A03,energy_primary,v1_rule_based
BEL_B05,BEL,B05,energy_primary,v1_rule_based
BEL_B06,BEL,B06,energy_primary,v1_rule_based
BEL_B07,BEL,B07,energy_primary,v1_rule_based
BEL_B08,BEL,B08,energy_primary,v1_rule_based
BEL_B09,BEL,B09,energy_primary,v1_rule_based
BEL_C10T12,BEL,C10T12,retail_consumer,v1_rule_based
BEL_C13T15,BEL,C13T15,retail_consumer,v1_rule_based
BEL_C16,BEL,C16,manufacturing_other,v1_rule_based
BEL_C17_18,BEL,C17_18,manufacturing_other,v1_rule_based
BEL_C19,BEL,C19,manufacturing_other,v1_rule_based
BEL_C20,BEL,C20,manufacturing_other,v1_rule_based
BEL_C21,BEL,C21,pharma,v1_rule_based
BEL_C22,BEL,C22,manufacturing_other,v1_rule_based
BEL_C23,BEL,C23,manufacturing_other,v1_rule_based
BEL_C24A,BEL,C24A,steel_aluminum,v1_rule_based
BEL_C24B,BEL,C24B,steel_aluminum,v1_rule_based
BEL_C25,BEL,C25,steel_aluminum,v1_rule_based
BEL_C26,BEL,C26,manufacturing_other,v1_rule_based
BEL_C27,BEL,C27,manufacturing_other,v1_rule_based
BEL_C28,BEL,C28,manufacturing_other,v1_rule_based
BEL_C29,BEL,C29,manufacturing_other,v1_rule_based
BEL_C301,BEL,C301,manufacturing_other,v1_rule_based
BEL_C302T309,BEL,C302T309,manufacturing_other,v1_rule_based
BEL_C31T33,BEL,C31T33,retail_consumer,v1_rule_based
BEL_D,BEL,D,energy_primary,v1_rule_based
BEL_E,BEL,E,energy_primary,v1_rule_based
BEL_F,BEL,F,services_other,v1_rule_based
BEL_G,BEL,G,retail_consumer,v1_rule_based
BEL_H49,BEL,H49,services_other,v1_rule_based
BEL_H50,BEL,H50,services_other,v1_rule_based
BEL_H51,BEL,H51,services_other,v1_rule_based
BEL_H52,BEL,H52,services_other,v1_rule_based
BEL_H53,BEL,H53,services_other,v1_rule_based
BEL_I,BEL,I,retail_consumer,v1_rule_based
BEL_J58T60,BEL,J58T60,services_other,v1_rule_based
BEL_J61,BEL,J61,services_other,v1_rule_based
BEL_J62_63,BEL,J62_63,services_other,v1_rule_based
BEL_K,BEL,K,services_other,v1_rule_based
BEL_L,BEL,L,services_other,v1_rule_based
BEL_M,BEL,M,services_other,v1_rule_based
BEL_N,BEL,N,services_other,v1_rule_based
BEL_O,BEL,O,services_other,v1_rule_based
BEL_P,BEL,P,services_other,v1_rule_based
BEL_Q,BEL,Q,services_other,v1_rule_based
BEL_R,BEL,R,services_other,v1_rule_based
BEL_S,BEL,S,services_other,v1_rule_based
BEL_T,BEL,T,services_other,v1_rule_based
BGD_A01,BGD,A01,energy_primary,v1_rule_based
BGD_A02,BGD,A02,energy_primary,v1_rule_based
BGD_A03,BGD,A03,energy_primary,v1_rule_based
BGD_B05,BGD,B05,energy_primary,v1_rule_based
BGD_B06,BGD,B06,energy_primary,v1_rule_based
BGD_B07,BGD,B07,energy_primary,v1_rule_based
BGD_B08,BGD,B08,energy_primary,v1_rule_based
BGD_B09,BGD,B09,energy_primary,v1_rule_based
BGD_C10T12,BGD,C10T12,retail_consumer,v1_rule_based
BGD_C13T15,BGD,C13T15,retail_consumer,v1_rule_based
BGD_C16,BGD,C16,manufacturing_other,v1_rule_based
BGD_C17_18,BGD,C17_18,manufacturing_other,v1_rule_based
BGD_C19,BGD,C19,manufacturing_other,v1_rule_based
BGD_C20,BGD,C20,manufacturing_other,v1_rule_based
BGD_C21,BGD,C21,pharma,v1_rule_based
BGD_C22,BGD,C22,manufacturing_other,v1_rule_based
BGD_C23,BGD,C23,manufacturing_other,v1_rule_based
BGD_C24A,BGD,C24A,steel_aluminum,v1_rule_based
BGD_C24B,BGD,C24B,steel_aluminum,v1_rule_based
BGD_C25,BGD,C25,steel_aluminum,v1_rule_based
BGD_C26,BGD,C26,manufacturing_other,v1_rule_based
BGD_C27,BGD,C27,manufacturing_other,v1_rule_based
BGD_C28,BGD,C28,manufacturing_other,v1_rule_based
BGD_C29,BGD,C29,manufacturing_other,v1_rule_based
BGD_C301,BGD,C301,manufacturing_other,v1_rule_based
BGD_C302T309,BGD,C302T309,manufacturing_other,v1_rule_based
BGD_C31T33,BGD,C31T33,retail_consumer,v1_rule_based
BGD_D,BGD,D,energy_primary,v1_rule_based
BGD_E,BGD,E,energy_primary,v1_rule_based
BGD_F,BGD,F,services_other,v1_rule_based
BGD_G,BGD,G,retail_consumer,v1_rule_based
BGD_H49,BGD,H49,services_other,v1_rule_based
BGD_H50,BGD,H50,services_other,v1_rule_based
BGD_H51,BGD,H51,services_other,v1_rule_based
BGD_H52,BGD,H52,services_other,v1_rule_based
BGD_H53,BGD,H53,services_other,v1_rule_based
BGD_I,BGD,I,retail_consumer,v1_rule_based
BGD_J58T60,BGD,J58T60,services_other,v1_rule_based
BGD_J61,BGD,J61,services_other,v1_rule_based
BGD_J62_63,BGD,J62_63,services_other,v1_rule_based
BGD_K,BGD,K,services_other,v1_rule_based
BGD_L,BGD,L,services_other,v1_rule_based
BGD_M,BGD,M,services_other,v1_rule_based
BGD_N,BGD,N,services_other,v1_rule_based
BGD_O,BGD,O,services_other,v1_rule_based
BGD_P,BGD,P,services_other,v1_rule_based
BGD_Q,BGD,Q,services_other,v1_rule_based
BGD_R,BGD,R,services_other,v1_rule_based
BGD_S,BGD,S,services_other,v1_rule_based
BGD_T,BGD,T,services_other,v1_rule_based
BGR_A01,BGR,A01,energy_primary,v1_rule_based
BGR_A02,BGR,A02,energy_primary,v1_rule_based
BGR_A03,BGR,A03,energy_primary,v1_rule_based
BGR_B05,BGR,B05,energy_primary,v1_rule_based
BGR_B06,BGR,B06,energy_primary,v1_rule_based
BGR_B07,BGR,B07,energy_primary,v1_rule_based
BGR_B08,BGR,B08,energy_primary,v1_rule_based
BGR_B09,BGR,B09,energy_primary,v1_rule_based
BGR_C10T12,BGR,C10T12,retail_consumer,v1_rule_based
BGR_C13T15,BGR,C13T15,retail_consumer,v1_rule_based
BGR_C16,BGR,C16,manufacturing_other,v1_rule_based
BGR_C17_18,BGR,C17_18,manufacturing_other,v1_rule_based
BGR_C19,BGR,C19,manufacturing_other,v1_rule_based
BGR_C20,BGR,C20,manufacturing_other,v1_rule_based
BGR_C21,BGR,C21,pharma,v1_rule_based
BGR_C22,BGR,C22,manufacturing_other,v1_rule_based
BGR_C23,BGR,C23,manufacturing_other,v1_rule_based
BGR_C24A,BGR,C24A,steel_aluminum,v1_rule_based
BGR_C24B,BGR,C24B,steel_aluminum,v1_rule_based
BGR_C25,BGR,C25,steel_aluminum,v1_rule_based
BGR_C26,BGR,C26,manufacturing_other,v1_rule_based
BGR_C27,BGR,C27,manufacturing_other,v1_rule_based
BGR_C28,BGR,C28,manufacturing_other,v1_rule_based
BGR_C29,BGR,C29,manufacturing_other,v1_rule_based
BGR_C301,BGR,C301,manufacturing_other,v1_rule_based
BGR_C302T309,BGR,C302T309,manufacturing_other,v1_rule_based
BGR_C31T33,BGR,C31T33,retail_consumer,v1_rule_based
BGR_D,BGR,D,energy_primary,v1_rule_based
BGR_E,BGR,E,energy_primary,v1_rule_based
BGR_F,BGR,F,services_other,v1_rule_based
BGR_G,BGR,G,retail_consumer,v1_rule_based
BGR_H49,BGR,H49,services_other,v1_rule_based
BGR_H50,BGR,H50,services_other,v1_rule_based
BGR_H51,BGR,H51,services_other,v1_rule_based
BGR_H52,BGR,H52,services_other,v1_rule_based
BGR_H53,BGR,H53,services_other,v1_rule_based
BGR_I,BGR,I,retail_consumer,v1_rule_based
BGR_J58T60,BGR,J58T60,services_other,v1_rule_based
BGR_J61,BGR,J61,services_other,v1_rule_based
BGR_J62_63,BGR,J62_63,services_other,v1_rule_based
BGR_K,BGR,K,services_other,v1_rule_based
BGR_L,BGR,L,services_other,v1_rule_based
BGR_M,BGR,M,services_other,v1_rule_based
BGR_N,BGR,N,services_other,v1_rule_based
BGR_O,BGR,O,services_other,v1_rule_based
BGR_P,BGR,P,services_other,v1_rule_based
BGR_Q,BGR,Q,services_other,v1_rule_based
BGR_R,BGR,R,services_other,v1_rule_based
BGR_S,BGR,S,services_other,v1_rule_based
BGR_T,BGR,T,services_other,v1_rule_based
BLR_A01,BLR,A01,energy_primary,v1_rule_based
BLR_A02,BLR,A02,energy_primary,v1_rule_based
BLR_A03,BLR,A03,energy_primary,v1_rule_based
BLR_B05,BLR,B05,energy_primary,v1_rule_based
BLR_B06,BLR,B06,energy_primary,v1_rule_based
BLR_B07,BLR,B07,energy_primary,v1_rule_based
BLR_B08,BLR,B08,energy_primary,v1_rule_based
BLR_B09,BLR,B09,energy_primary,v1_rule_based
BLR_C10T12,BLR,C10T12,retail_consumer,v1_rule_based
BLR_C13T15,BLR,C13T15,retail_consumer,v1_rule_based
BLR_C16,BLR,C16,manufacturing_other,v1_rule_based
BLR_C17_18,BLR,C17_18,manufacturing_other,v1_rule_based
BLR_C19,BLR,C19,manufacturing_other,v1_rule_based
BLR_C20,BLR,C20,manufacturing_other,v1_rule_based
BLR_C21,BLR,C21,pharma,v1_rule_based
BLR_C22,BLR,C22,manufacturing_other,v1_rule_based
BLR_C23,BLR,C23,manufacturing_other,v1_rule_based
BLR_C24A,BLR,C24A,steel_aluminum,v1_rule_based
BLR_C24B,BLR,C24B,steel_aluminum,v1_rule_based
BLR_C25,BLR,C25,steel_aluminum,v1_rule_based
BLR_C26,BLR,C26,manufacturing_other,v1_rule_based
BLR_C27,BLR,C27,manufacturing_other,v1_rule_based
BLR_C28,BLR,C28,manufacturing_other,v1_rule_based
BLR_C29,BLR,C29,manufacturing_other,v1_rule_based
BLR_C301,BLR,C301,manufacturing_other,v1_rule_based
BLR_C302T309,BLR,C302T309,manufacturing_other,v1_rule_based
BLR_C31T33,BLR,C31T33,retail_consumer,v1_rule_based
BLR_D,BLR,D,energy_primary,v1_rule_based
BLR_E,BLR,E,energy_primary,v1_rule_based
BLR_F,BLR,F,services_other,v1_rule_based
BLR_G,BLR,G,retail_consumer,v1_rule_based
BLR_H49,BLR,H49,services_other,v1_rule_based
BLR_H50,BLR,H50,services_other,v1_rule_based
BLR_H51,BLR,H51,services_other,v1_rule_based
BLR_H52,BLR,H52,services_other,v1_rule_based
BLR_H53,BLR,H53,services_other,v1_rule_based
BLR_I,BLR,I,retail_consumer,v1_rule_based
BLR_J58T60,BLR,J58T60,services_other,v1_rule_based
BLR_J61,BLR,J61,services_other,v1_rule_based
BLR_J62_63,BLR,J62_63,services_other,v1_rule_based
BLR_K,BLR,K,services_other,v1_rule_based
BLR_L,BLR,L,services_other,v1_rule_based
BLR_M,BLR,M,services_other,v1_rule_based
BLR_N,BLR,N,services_other,v1_rule_based
BLR_O,BLR,O,services_other,v1_rule_based
BLR_P,BLR,P,services_other,v1_rule_based
BLR_Q,BLR,Q,services_other,v1_rule_based
BLR_R,BLR,R,services_other,v1_rule_based
BLR_S,BLR,S,services_other,v1_rule_based
BLR_T,BLR,T,services_other,v1_rule_based
BRA_A01,BRA,A01,energy_primary,v1_rule_based
BRA_A02,BRA,A02,energy_primary,v1_rule_based
BRA_A03,BRA,A03,energy_primary,v1_rule_based
BRA_B05,BRA,B05,energy_primary,v1_rule_based
BRA_B06,BRA,B06,energy_primary,v1_rule_based
BRA_B07,BRA,B07,energy_primary,v1_rule_based
BRA_B08,BRA,B08,energy_primary,v1_rule_based
BRA_B09,BRA,B09,energy_primary,v1_rule_based
BRA_C10T12,BRA,C10T12,retail_consumer,v1_rule_based
BRA_C13T15,BRA,C13T15,retail_consumer,v1_rule_based
BRA_C16,BRA,C16,manufacturing_other,v1_rule_based
BRA_C17_18,BRA,C17_18,manufacturing_other,v1_rule_based
BRA_C19,BRA,C19,manufacturing_other,v1_rule_based
BRA_C20,BRA,C20,manufacturing_other,v1_rule_based
BRA_C21,BRA,C21,pharma,v1_rule_based
BRA_C22,BRA,C22,manufacturing_other,v1_rule_based
BRA_C23,BRA,C23,manufacturing_other,v1_rule_based
BRA_C24A,BRA,C24A,steel_aluminum,v1_rule_based
BRA_C24B,BRA,C24B,steel_aluminum,v1_rule_based
BRA_C25,BRA,C25,steel_aluminum,v1_rule_based
BRA_C26,BRA,C26,manufacturing_other,v1_rule_based
BRA_C27,BRA,C27,manufacturing_other,v1_rule_based
BRA_C28,BRA,C28,manufacturing_other,v1_rule_based
BRA_C29,BRA,C29,manufacturing_other,v1_rule_based
BRA_C301,BRA,C301,manufacturing_other,v1_rule_based
BRA_C302T309,BRA,C302T309,manufacturing_other,v1_rule_based
BRA_C31T33,BRA,C31T33,retail_consumer,v1_rule_based
BRA_D,BRA,D,energy_primary,v1_rule_based
BRA_E,BRA,E,energy_primary,v1_rule_based
BRA_F,BRA,F,services_other,v1_rule_based
BRA_G,BRA,G,retail_consumer,v1_rule_based
BRA_H49,BRA,H49,services_other,v1_rule_based
BRA_H50,BRA,H50,services_other,v1_rule_based
BRA_H51,BRA,H51,services_other,v1_rule_based
BRA_H52,BRA,H52,services_other,v1_rule_based
BRA_H53,BRA,H53,services_other,v1_rule_based
BRA_I,BRA,I,retail_consumer,v1_rule_based
BRA_J58T60,BRA,J58T60,services_other,v1_rule_based
BRA_J61,BRA,J61,services_other,v1_rule_based
BRA_J62_63,BRA,J62_63,services_other,v1_rule_based
BRA_K,BRA,K,services_other,v1_rule_based
BRA_L,BRA,L,services_other,v1_rule_based
BRA_M,BRA,M,services_other,v1_rule_based
BRA_N,BRA,N,services_other,v1_rule_based
BRA_O,BRA,O,services_other,v1_rule_based
BRA_P,BRA,P,services_other,v1_rule_based
BRA_Q,BRA,Q,services_other,v1_rule_based
BRA_R,BRA,R,services_other,v1_rule_based
